doctor_id,doctor_name,specialization,department,experience_years
D0860,Dr. Rohan Mitra,Diagnostic Radiology,Radiology,11
D0861,Dr. Kabir Kapoor,General Surgery,Surgery,27
D0862,Dr. Meera Kapoor,General Pediatrics,Pediatrics,4
D0863,Dr. Diya Sharma,Interventional Radiology,Radiology,29
D0864,Dr. Shreya Mehta,Hepatology,Gastroenterology,22
D0865,Dr. Aadhya Gandhi,Histopathology,Pathology,18
D0866,Dr. Diya Patel,Endourology,Urology,25
D0867,Dr. Arjun Mehta,General Pediatrics,Pediatrics,3
D0868,Dr. Pooja Mehta,Endoscopy,Gastroenterology,2
D0869,Dr. Sneha Kapoor,Audiology,ENT,12
D0870,Dr. Kabir Reddy,Clinical Pathology,Pathology,4
D0871,Dr. Ira Bose,ENT Surgery,ENT,14
D0872,Dr. Aarav Chopra,Non-Invasive Cardiology,Cardiology,16
D0873,Dr. Vivaan Gandhi,Radiation Oncology,Oncology,21
D0874,Dr. Shreya Iyer,General Surgery,Surgery,4
D0875,Dr. Aditya Mitra,Non-Invasive Cardiology,Cardiology,12
D0876,Dr. Asha Menon,Medical Dermatology,Dermatology,30
D0877,Dr. Aditya Bose,Radiation Oncology,Oncology,30
D0878,Dr. Ishaan Sharma,General Pediatrics,Pediatrics,19
D0879,Dr. Kabir Mehta,Spine,Orthopedics,19
D0880,Dr. Saanvi Kumar,Adult Psychiatry,Psychiatry,12
D0881,Dr. Rohan Kapoor,Clinical Neurology,Neurology,30
D0882,Dr. Rohan Desai,Child Psychiatry,Psychiatry,15
D0883,Dr. Aditya Das,Sleep Medicine,Pulmonology,29
D0884,Dr. Arjun Singh,Cosmetic Dermatology,Dermatology,3
D0885,Dr. Rohan Desai,Endoscopy,Gastroenterology,19
D0886,Dr. Aditya Khanna,Medical Dermatology,Dermatology,22
D0887,Dr. Karan Verma,Laparoscopic Surgery,Surgery,15
D0888,Dr. Sneha Gupta,Audiology,ENT,20
D0889,Dr. Kabir Sharma,Retina,Ophthalmology,29
D0890,Dr. Ishaan Iyer,Obstetrics,Gynecology,23
D0891,Dr. Sai Bose,Retina,Ophthalmology,7
D0892,Dr. Ishaan Reddy,Joint Replacement,Orthopedics,4
D0893,Dr. Aadhya Sharma,Clinical Neurology,Neurology,1
D0894,Dr. Aadhya Chopra,Obstetrics,Gynecology,9
D0895,Dr. Rohan Khanna,Cornea,Ophthalmology,7
D0896,Dr. Ishaan Kumar,Cosmetic Dermatology,Dermatology,22
D0897,Dr. Karan Bose,Hepatology,Gastroenterology,5
D0898,Dr. Shreya Mitra,Thyroid Specialist,Endocrinology,25
D0899,Dr. Karan Iyer,Interventional Radiology,Radiology,30
D0900,Dr. Asha Desai,ENT Surgery,ENT,29
D0901,Dr. Pooja Khanna,Diabetology,Endocrinology,9
D0902,Dr. Aditya Das,Spine,Orthopedics,26
D0903,Dr. Aarav Nair,Neonatology,Pediatrics,27
D0904,Dr. Aditya Mehta,Reproductive Medicine,Gynecology,6
D0905,Dr. Sneha Desai,Clinical Pathology,Pathology,24
D0906,Dr. Aarav Reddy,Interventional Radiology,Radiology,23
D0907,Dr. Kabir Nair,Joint Replacement,Orthopedics,12
D0908,Dr. Sneha Das,Joint Replacement,Orthopedics,13
D0909,Dr. Arjun Chopra,Child Psychiatry,Psychiatry,1
D0910,Dr. Asha Das,Diagnostic Radiology,Radiology,15
D0911,Dr. Rohan Reddy,Clinical Pathology,Pathology,16
D0912,Dr. Rohan Mitra,General Surgery,Surgery,2
D0913,Dr. Vivaan Das,Diagnostic Radiology,Radiology,9
D0914,Dr. Ishaan Menon,Trauma Medicine,Emergency,10
D0915,Dr. Sai Joshi,Critical Care,Emergency,20
D0916,Dr. Diya Khanna,Interventional Cardiology,Cardiology,27
D0917,Dr. Karan Patel,Transplant,Nephrology,16
D0918,Dr. Karan Mitra,Interventional Pulmonology,Pulmonology,15
D0919,Dr. Sneha Nair,Neonatology,Pediatrics,3
D0920,Dr. Asha Gupta,Thyroid Specialist,Endocrinology,2
D0921,Dr. Vikram Verma,Endourology,Urology,8
D0922,Dr. Kabir Singh,Clinical Pathology,Pathology,30
D0923,Dr. Sneha Joshi,Interventional Radiology,Radiology,16
D0924,Dr. Aarav Reddy,ENT Surgery,ENT,23
D0925,Dr. Meera Gupta,Transplant,Nephrology,9
D0926,Dr. Pooja Gandhi,Spine,Orthopedics,3
D0927,Dr. Diya Nair,Thyroid Specialist,Endocrinology,17
D0928,Dr. Ishaan Kumar,Thyroid Specialist,Endocrinology,13
D0929,Dr. Meera Gupta,Neonatology,Pediatrics,16
D0930,Dr. Pooja Gupta,Trauma Medicine,Emergency,25
D0931,Dr. Sneha Khanna,Hepatology,Gastroenterology,30
D0932,Dr. Vivaan Bose,Cosmetic Dermatology,Dermatology,5
D0933,Dr. Sai Singh,Audiology,ENT,5
D0934,Dr. Meera Verma,Reconstructive Urology,Urology,3
D0935,Dr. Diya Menon,Family Medicine,General Medicine,13
D0936,Dr. Asha Singh,Hepatology,Gastroenterology,8
D0937,Dr. Meera Patel,Diabetology,Endocrinology,8
D0938,Dr. Aditya Gandhi,Clinical Neurology,Neurology,17
D0939,Dr. Karan Singh,Reconstructive Urology,Urology,15
D0940,Dr. Ishaan Singh,Endourology,Urology,4
D0941,Dr. Vivaan Mitra,Non-Invasive Cardiology,Cardiology,22
D0942,Dr. Ananya Chopra,Interventional Radiology,Radiology,25
D0943,Dr. Kabir Bose,Diagnostic Radiology,Radiology,18
D0944,Dr. Ira Sharma,Neonatology,Pediatrics,7
D0945,Dr. Saanvi Nair,Dialysis,Nephrology,10
D0946,Dr. Shreya Iyer,Family Medicine,General Medicine,1
D0947,Dr. Sai Desai,General Pediatrics,Pediatrics,26
D0948,Dr. Pooja Kumar,Radiation Oncology,Oncology,4
D0949,Dr. Rohan Nair,Histopathology,Pathology,26
D0950,Dr. Ishaan Bose,Adult Psychiatry,Psychiatry,11
D0951,Dr. Aadhya Bose,Radiation Oncology,Oncology,15
D0952,Dr. Vivaan Khanna,Interventional Pulmonology,Pulmonology,15
D0953,Dr. Sneha Khanna,Family Medicine,General Medicine,28
D0954,Dr. Kabir Reddy,Radiation Oncology,Oncology,23
D0955,Dr. Ananya Desai,Histopathology,Pathology,3
D0956,Dr. Asha Khanna,Reproductive Medicine,Gynecology,19
D0957,Dr. Aarav Das,Medical Oncology,Oncology,20
D0958,Dr. Asha Desai,Medical Dermatology,Dermatology,24
D0959,Dr. Saanvi Mitra,Family Medicine,General Medicine,14
D0960,Dr. Meera Sharma,General Pediatrics,Pediatrics,3
D0961,Dr. Vikram Sharma,Laparoscopic Surgery,Surgery,8
D0962,Dr. Ishaan Joshi,Cornea,Ophthalmology,10
D0963,Dr. Sai Bose,ENT Surgery,ENT,9
D0964,Dr. Aadhya Singh,Interventional Cardiology,Cardiology,28
D0965,Dr. Meera Reddy,Laparoscopic Surgery,Surgery,24
D0966,Dr. Karan Kapoor,Endoscopy,Gastroenterology,15
D0967,Dr. Ananya Sharma,Laparoscopic Surgery,Surgery,24
D0968,Dr. Ira Menon,Adult Psychiatry,Psychiatry,9
D0969,Dr. Meera Verma,Sleep Medicine,Pulmonology,4
D0970,Dr. Asha Kapoor,Neurosurgery,Neurology,12
D0971,Dr. Rohan Chopra,Diabetology,Endocrinology,19
D0972,Dr. Pooja Nair,Hepatology,Gastroenterology,24
D0973,Dr. Ananya Sharma,Clinical Pathology,Pathology,1
D0974,Dr. Karan Kapoor,Neonatology,Pediatrics,14
D0975,Dr. Ishaan Menon,Thyroid Specialist,Endocrinology,10
D0976,Dr. Karan Joshi,Hepatology,Gastroenterology,1
D0977,Dr. Ananya Khanna,Thyroid Specialist,Endocrinology,4
D0978,Dr. Aarav Joshi,Child Psychiatry,Psychiatry,10
D0979,Dr. Rohan Reddy,General Pediatrics,Pediatrics,3
D0980,Dr. Vivaan Singh,Transplant,Nephrology,26
D0981,Dr. Ananya Bose,Clinical Pathology,Pathology,16
D0982,Dr. Ira Desai,Medical Oncology,Oncology,18
D0983,Dr. Aadhya Chopra,Interventional Cardiology,Cardiology,25
D0984,Dr. Ananya Iyer,Retina,Ophthalmology,12
D0985,Dr. Ishaan Kumar,Histopathology,Pathology,28
D0986,Dr. Vivaan Bose,General Surgery,Surgery,28
D0987,Dr. Sneha Das,Clinical Neurology,Neurology,21
D0988,Dr. Vikram Chopra,Interventional Pulmonology,Pulmonology,19
D0989,Dr. Pooja Gandhi,Joint Replacement,Orthopedics,9
D0990,Dr. Ira Verma,Medical Dermatology,Dermatology,24
D0991,Dr. Aadhya Gandhi,Laparoscopic Surgery,Surgery,20
D0992,Dr. Saanvi Mitra,Reconstructive Urology,Urology,26
D0993,Dr. Saanvi Chopra,Dialysis,Nephrology,5
D0994,Dr. Aadhya Desai,Trauma Medicine,Emergency,27
D0995,Dr. Sai Verma,Retina,Ophthalmology,28
D0996,Dr. Asha Reddy,Diagnostic Radiology,Radiology,5
D0997,Dr. Meera Mitra,Sleep Medicine,Pulmonology,8
D0998,Dr. Vikram Singh,Endourology,Urology,7
D0999,Dr. Ira Reddy,Cosmetic Dermatology,Dermatology,19
D1000,Dr. Vikram Joshi,Medical Dermatology,Dermatology,22
